zip;street;number_from;;number_to;;number_variety;district_name;vote_district_id;landtag_election_district_id;local_election_district_id;bundestag_election_district_id
14467;Lennestr;1;;8;;all;;3101;;;
14467;Lennestr;81;;82;;all;;3101;;;
14467;Luisenplatz;;;;;all;;3101;;;
14467;Schopenhauerstr;23;;44;;all;;3101;;;
14467;Zeppelinstr;1;;6;;all;;3101;;;
14467;Zeppelinstr;173;;189;;all;;3101;;;
14467;Zimmerstr;1;;10;;all;;3101;;;
14467;Zimmerstr;13;A;15;;all;;3101;;;
14471;Feuerbachstr;1;;13;;all;;3102;;;
14471;Feuerbachstr;34;;42;;all;;3102;;;
14471;Lennestr;59;;80;;all;;3102;;;
14471;Lennestr;85;;;;all;;3102;;;
14471;Sellostr;2;;15;A;all;;3102;;;
14471;Zeppelinstr;7;;26;;all;;3102;;;
14471;Zimmerstr;12;;12;C;all;;3102;;;
14471;Auf dem Kiewitt;1;;2;;all;;3103;;;
14471;Clara-Zetkin-Str;2;;13;;all;;3103;;;
14471;Clara-Zetkin-Str;21;;31;;all;;3103;;;
14471;Feuerbachstr;31;A;33;;all;;3103;;;
14471;Geschwister-Scholl-Str;1;;7;A;all;;3103;;;
14471;Geschwister-Scholl-Str;88;;97;;all;;3103;;;
14471;Meistersingerstr;20;;;;all;;3103;;;
14471;Nansenstr;2;;5;;all;;3103;;;
14471;Sellostr;20;;30;;all;;3103;;;
14471;Stiftstr;;;;;all;;3103;;;
14471;Zeppelinstr;28;;33;;all;;3103;;;
14471;Zeppelinstr;147;;163;A;all;;3103;;;
14471;Auf dem Kiewitt;23;;39;;all;;3104;;;
14471;Breite Str;24;;28;;even;;3104;;;
14471;Zeppelinstr;164;;172;;all;;3104;;;
14471;Am Grünen Gitter;3;;11;;odd;;3105;;;
14471;Am Grübüringstrnen Gitter;6;;10;;even;;3105;;;
14471;Am Neuen Palais;;;;;all;;3105;;;
14471;An der Orangerie;;;;;all;;3105;;;
14471;Clara-Zetkin-Str;15;;20;;all;;3105;;;
14471;Feuerbachstr;14;;31;;all;;3105;;;
14471;Geschwister-Scholl-Str;22;;36;;all;;3105;;;
14471;Hans-Sachs-Str;32;;55;;all;;3105;;;
14471;Im Park Sanssouci;;;;;all;;3105;;;
14471;Lennestr;9;;32;A;all;;3105;;;
14471;Lennestr;46;;54;;all;;3105;;;
14471;Maulbeerallee;;;;;all;;3105;;;
14471;Meistersingerstr;1;;2;;all;;3105;;;
14471;Nansenstr;6;;10;;all;;3105;;;
14471;Sellostr;15;B;19;;all;;3105;;;
14471;Carl-von-Ossietzky-Str;1;;21;A;all;;3106;;;
14471;Geschwister-Scholl-Str;8;;14;;all;;3106;;;
14471;Geschwister-Scholl-Str;73;;87;;all;;3106;;;
