street,number_odd_from,number_odd_to,number_even_from,number_even_to,district_nr,district_name,zip,vote_district_id,local_election_district_id,landtag_election_district_id,bundestag_election_district_id
Bremer Str.,1,5,2,6,104,Neustadt/Nord,50670,10411,05,18,93
Bremerhavener Str.,23,43,10,10,504,Niehl,50735,50404,30,16,95
Bremsstr.,1,19,2,12,205,Zollstock,50969,20508,13,13,94
Breniger Str.,1,3,2,18,205,Zollstock,50969,20516,13,13,94
Breniger Str.,5,11,,,205,Zollstock,50969,20517,13,13,94
Brentanostr.,1,11,2,18,402,Neuehrenfeld,50825,40218,23,15,95
Breslauer Platz,1,1,2,4,103,Altstadt/Nord,50668,10307,04,18,93
Breslauer Str.,1,21,2,12,907,Dünnwald,51069,90703,38,19,101
Breslauer Str. (Urbach),1,11,2,12,707,Urbach,51145,70702,09,17,93
Breslauer Str. (Urbach),15,41,14,26,707,Urbach,51145,70701,09,17,93
Breslauer Str. (Weiden),11,11,2,20,307,Weiden,50858,30704,20,14,94
Breslauer Str. (Weiden),17,35,22,36,307,Weiden,50858,30702,20,14,94
Brettener Str.,1,15,,,805,Ostheim,51107,80506,45,18,93
Breuerstr.,3,41,2,40,802,Kalk,51103,80206,42,18,93
Briandstr.,1,27,2,30,809,Neubrück,51109,80904,45,18,93
Brictiusstr.,3,17,2,24,601,Merkenich,50769,60104,29,16,95
Briedeler Str.,3,15,2,14,205,Zollstock,50969,20509,13,13,94
Brigittengäßchen,13,29,,,103,Altstadt/Nord,50667,10305,04,18,93
Briloner Str.,5,11b,8,12,806,Merheim,51109,80606,44,17,93
Bringsweg,,,22,34,712,Lind,51147,71203,10,17,93
Brivestr.,1,11,2,10,705,Eil,51145,70501,08,17,93
Brohler Str.,1,17,2,16,202,Marienburg,50968,20202,12,13,94
Broichstr.,,,2,18d,806,Merheim,51109,80601,44,17,93
Broichstr.,,,28,52,807,Brück,51109,80703,41,17,93
Broichstr.,,,,,806,Merheim,51109,80602,44,17,93
Brölweg,1,7,2,16,906,Höhenhaus,51061,90602,38,19,101
Brombeergasse,19,19,2,24,612,Worringen,50769,61207,29,16,95
Brombeergasse,61,61,44,46,612,Worringen,50769,61206,29,16,95
Brombeerweg,1,15,2,14,808,Rath/Heumar,51107,80812,41,17,93
Bruchfeld,1,13,2,22,807,Brück,51109,80703,41,17,93
Bruchpfädchen,1,13,,,611,Roggendorf/Thenhoven,50769,61101,29,16,95
Bruchsaler Str.,3,21,2,2c,805,Ostheim,51107,80504,45,18,93
Bruchsaler Str.,,,4,14,805,Ostheim,51107,80503,45,18,93
Bruchsaler Str.,,,22,22,805,Ostheim,51107,80504,45,18,93
Bruchstr.,1,23,50,144,611,Roggendorf/Thenhoven,50769,61101,29,16,95
Brückenauer Str.,,,,,804,Höhenberg,51103,80405,44,18,93
Brückenstr.,1,23,6,6,103,Altstadt/Nord,50667,10304,04,18,93
Brückenstr. (Rodenkirchen),11,39,2,110,208,Rodenkirchen,50996,20803,12,13,94
Brückenstr. (Rodenkirchen),41,47,,,208,Rodenkirchen,50996,20804,12,13,94
Brücker Gemarkenweg,,,,,807,Brück,51109,80702,41,17,93
Brücker Heide,1,15,,,807,Brück,51109,80701,41,17,93
Brücker Heide,,,2,16,807,Brück,51109,80702,41,17,93
Brücker Mauspfad,171,537,180,516,807,Brück,51109,80709,41,17,93
Brücker Mauspfad,539,545,530,578,807,Brück,51109,80710,41,17,93
Brücker Mauspfad,589,741,584,646,807,Brück,51109,80703,41,17,93
Brucknerstr.,1,15,2,18,303,Lindenthal,50931,30325,19,14,94
Brucknerstr. (Urbach),,,40,40,707,Urbach,51145,70704,09,17,93
Brück-Rather Steinweg,,,,,807,Brück,51109,80707,41,17,93
Brück-Rather Steinweg,,,,,808,Rath/Heumar,51107,80808,41,17,93
Brüder-Grimm-Str.,1,35,10,52,206,Rondorf,50997,20607,15,13,94
Bruder-Klaus-Platz,1,3,2,8,901,Mülheim,51063,90123,37,19,101
Brüderstr.,1,19,2,4,103,Altstadt/Nord,50667,10302,04,18,93
Brügelmannstr.,1,7,16,18,105,Deutz,50679,10501,06,18,93
Brüggener Str.,1,1,2,2,205,Zollstock,50969,20513,13,13,94
Brühler Landstr.,5,5,2,2,204,Raderthal,50997,20401,12,13,94
Brühler Landstr.,39,93,54,300,206,Rondorf,50997,20601,15,13,94
Brühler Landstr.,401,419,402,436,213,Meschenich,50997,21304,15,13,94
Brühler Landstr.,425,551,438,552,213,Meschenich,50997,21303,15,13,94
