WahlbezirksNr	WahlbezirksName	WahlraumZeile1	WahlraumZeile2	WahlraumZeile3	Wahlraum barrierefrei	WahlbehˆrdeName	WahlbehˆrdeZeile1	WahlbehˆrdeZeile2	WahlbehˆrdeZeile3	Ortschaftsname	Wahleinteilung
5305	Babelsberg S¸d - Dianastr./Sandscholle			Kindertagesst‰tte Sandscholle			barrierefrei	Landeshauptstadt Potsdam	Landeshauptstadt Potsdam	Friedrich-Ebert-Straﬂe 79-81	14469 Potsdam
5302	Babelsberg S¸d - H-v-Kleist-Str./Wattstr			Goethe-Schule (31)			barrierefrei	Landeshauptstadt Potsdam	Landeshauptstadt Potsdam	Friedrich-Ebert-Straﬂe 79-81	14469 Potsdam
5306	Babelsberg S¸d - Marlene-Dietrich-Allee			Universit‰t Potsdam Komplex III, Haus 6		nicht barrierefrei	nicht barrierefrei	Landeshauptstadt Potsdam	Landeshauptstadt Potsdam	Friedrich-Ebert-Straﬂe 79-81	14469 Potsdam
5301	Babelsberg S¸d - Neuendorfer Anger			Berlin Brandenburgische Auslands-		nicht barrierefrei	nicht barrierefrei	Landeshauptstadt Potsdam	Landeshauptstadt Potsdam	Friedrich-Ebert-Straﬂe 79-81	14469 Potsdam
5304	Babelsberg S¸d - Paul-Neumann-Str.			Sportplatz Sandscholle			barrierefrei	Landeshauptstadt Potsdam	Landeshauptstadt Potsdam	Friedrich-Ebert-Straﬂe 79-81	14469 Potsdam
5308	Babelsberg S¸d - Schulstr./Fultonstr.			Jugendherberge Potsdam			barrierefrei	Landeshauptstadt Potsdam	Landeshauptstadt Potsdam	Friedrich-Ebert-Straﬂe 79-81	14469 Potsdam
5309	Babelsberg S¸d - Walter-Klausch-Str.			Institut f¸r Weiterbildung			barrierefrei	Landeshauptstadt Potsdam	Landeshauptstadt Potsdam	Friedrich-Ebert-Straﬂe 79-81	14469 Potsdam
2301	Berliner Vorstadt - Ludwig-Richter-Str.	9048	Briefwahlbezirk 2301,2302	Johanna-Just-Oberstufenzentrum (III)			barrierefrei	Landeshauptstadt Potsdam	Landeshauptstadt Potsdam	Friedrich-Ebert-Straﬂe 79-81	14469 Potsdam
2302	Berliner Vorstadt - Schiffbauergasse	9048	Briefwahlbezirk 2301,2302	Johanna-Just-Oberstufenzentrum (III)			barrierefrei	Landeshauptstadt Potsdam	Landeshauptstadt Potsdam	Friedrich-Ebert-Straﬂe 79-81	14469 Potsdam
1101	Bornim - Max-Eyth-Allee/Lerchensteig	9032	Briefwahlbezirk 1101,1102,1301	Leibniz-Institut f¸r Agrartechnik		Max-Eyth-Allee 53,	barrierefrei	Landeshauptstadt Potsdam	Landeshauptstadt Potsdam	Friedrich-Ebert-Straﬂe 79-81	14469 Potsdam
1102	Bornim - Ortslage/H¸gelweg	9032	Briefwahlbezirk 1101,1102,1301	Grundschule Bornim (11)		nicht barrierefrei	nicht barrierefrei	Landeshauptstadt Potsdam	Landeshauptstadt Potsdam	Friedrich-Ebert-Straﬂe 79-81	14469 Potsdam
1303	Bornstedt - Am Krongut/Katharinenholzstr			Hort Schulplatz 1			barrierefrei	Landeshauptstadt Potsdam	Landeshauptstadt Potsdam	Friedrich-Ebert-Straﬂe 79-81	14469 Potsdam
1309	Bornstedt - A.-Wolff-Platz/E.-Arendt-Str			Leonardo-da-Vinci-Gesamtschule (32)			barrierefrei	Landeshauptstadt Potsdam	Landeshauptstadt Potsdam	Friedrich-Ebert-Straﬂe 79-81	14469 Potsdam
1302	Bornstedt - Fliederweg			Karl-Foerster-Schule (25/26)			barrierefrei	Landeshauptstadt Potsdam	Landeshauptstadt Potsdam	Friedrich-Ebert-Straﬂe 79-81	14469 Potsdam
1306	Bornstedt - Hermann-Mattern-Promenade			Leonardo-da-Vinci-Gesamtschule (32)			barrierefrei	Landeshauptstadt Potsdam	Landeshauptstadt Potsdam	Friedrich-Ebert-Straﬂe 79-81	14469 Potsdam
1307	Bornstedt - Jakob-von-Gundling-Str.			Fachhochschule Potsdam			barrierefrei	Landeshauptstadt Potsdam	Landeshauptstadt Potsdam	Friedrich-Ebert-Straﬂe 79-81	14469 Potsdam
1304	Bornstedt - Kirschallee/Thaerstr.			Karl-Foerster-Schule (25/26)			barrierefrei	Landeshauptstadt Potsdam	Landeshauptstadt Potsdam	Friedrich-Ebert-Straﬂe 79-81	14469 Potsdam
1308	Bornstedt - Reiherweg/David-Gilly-Str.			Grundschule im Bornstedter Feld (3)			barrierefrei	Landeshauptstadt Potsdam	Landeshauptstadt Potsdam	Friedrich-Ebert-Straﬂe 79-81	14469 Potsdam
1305	Bornstedt - Stechlinweg			Grundschule im Bornstedter Feld (3)			barrierefrei	Landeshauptstadt Potsdam	Landeshauptstadt Potsdam	Friedrich-Ebert-Straﬂe 79-81	14469 Potsdam
3104	Brandenburger Vorstadt - Auf dem Kiewitt			Begegnungsst‰tte der Volkssolidarit‰t		Zeppelinstr. 163a,	barrierefrei	Landeshauptstadt Potsdam	Landeshauptstadt Potsdam	Friedrich-Ebert-Straﬂe 79-81	14469 Potsdam
3103	Brandenburger Vorstadt - Clara-Zetkin-S.			K‰the-Kollwitz-Oberschule (13)		nicht barrierefrei	nicht barrierefrei	Landeshauptstadt Potsdam	Landeshauptstadt Potsdam	Friedrich-Ebert-Straﬂe 79-81	14469 Potsdam
3102	Brandenburger Vorstadt - Feuerbachstr.			K‰the-Kollwitz-Oberschule (13)		nicht barrierefrei	nicht barrierefrei	Landeshauptstadt Potsdam	Landeshauptstadt Potsdam	Friedrich-Ebert-Straﬂe 79-81	14469 Potsdam
3108	Brandenburger Vorstadt - Hans-Sachs-Str.			Gerhart-Hauptmann-Grundschule (12)		nicht barrierefrei	nicht barrierefrei	Landeshauptstadt Potsdam	Landeshauptstadt Potsdam	Friedrich-Ebert-Straﬂe 79-81	14469 Potsdam
