vote_district_id,vote_letter_id,wlk_eu,wlk_gm,address,name,full_address,barrier_free,note
21006,21072,1    ,14   ,Sürther Hauptstr. 149,Brüder-Grimm-Schule,50999 Köln,J,
21007,21073,1    ,14   ,Auferstehungskirchweg 7,Ev. Kirchengem. Sürth/Weiß,50999 Köln,J,
21008,21073,1    ,14   ,Auferstehungskirchweg 7,Ev. Kirchengem. Sürth/Weiß,50999 Köln,J,
21009,21073,1    ,14   ,Auferstehungskirchweg 7,Ev. Kirchengem. Sürth/Weiß,50999 Köln,J,
21101,21171,1    ,15   ,Kuckucksweg 4,Johannes-Gutenberg-Schule,50997 Köln,J,Eingang Buchfinkenstr.
21102,21171,1    ,15   ,Kuckucksweg 4,Johannes-Gutenberg-Schule,50997 Köln,J,Eingang Buchfinkenstr.
21201,21271,1    ,15   ,Godorfer Str. 29,Freiherr-vom-Stein-Schule,50997 Köln,J,
21202,21271,1    ,15   ,Godorfer Str. 29,Freiherr-vom-Stein-Schule,50997 Köln,J,
21301,21371,1    ,15   ,Kettelerstr. 14,Ketteler-Schule,50997 Köln,J,
21302,21371,1    ,15   ,Kettelerstr. 14,Ketteler-Schule,50997 Köln,J,
21303,21371,1    ,15   ,Kettelerstr. 14,Ketteler-Schule,50997 Köln,J,
21304,21371,1    ,15   ,Kettelerstr. 14,Ketteler-Schule,50997 Köln,J,
30101,30171,1    ,16   ,Lohrbergstr. 46,KGS Lohrbergstr.,50939 Köln,J,
30102,30171,1    ,16   ,Lohrbergstr. 46,KGS Lohrbergstr.,50939 Köln,J,
30103,30171,1    ,16   ,Lohrbergstr. 46,KGS Lohrbergstr.,50939 Köln,J,
30104,30172,1    ,16   ,Lohrbergstr. 46,KGS Lohrbergstr.,50939 Köln,J,
30105,30172,1    ,16   ,Lohrbergstr. 46,KGS Lohrbergstr.,50939 Köln,J,
30106,30172,1    ,16   ,Stenzelbergstr. 3,GGS Stenzelbergstr.,50939 Köln,J,
30107,30172,1    ,16   ,Stenzelbergstr. 3,GGS Stenzelbergstr.,50939 Köln,J,
30108,30173,1    ,16   ,Stenzelbergstr. 3,GGS Stenzelbergstr.,50939 Köln,J,
30109,30173,1    ,16   ,Stenzelbergstr. 3,GGS Stenzelbergstr.,50939 Köln,J,
30110,30173,1    ,16   ,Stenzelbergstr. 3,GGS Stenzelbergstr.,50939 Köln,J,
30201,30271,1    ,16   ,Leybergstr. 1,Hildegard-von-Bingen-Schule,50939 Köln,J,
30202,30271,1    ,16   ,Leybergstr. 1,Hildegard-von-Bingen-Schule,50939 Köln,J,
30203,30272,1    ,16   ,Leybergstr. 1,Hildegard-von-Bingen-Schule,50939 Köln,J,
30204,30273,1    ,16   ,Leybergstr. 1,Hildegard-von-Bingen-Schule,50939 Köln,J,
30205,30273,1    ,16   ,Nikolausstr. 55,Schiller-Gymnasium,50937 Köln,J,
30206,30273,1    ,16   ,Nikolausstr. 55,Schiller-Gymnasium,50937 Köln,J,
30207,30272,1    ,16   ,Berrenrather Str. 179,KGS Berrenrather Str.,50937 Köln,N,
30208,30272,1    ,16   ,Berrenrather Str. 179,KGS Berrenrather Str.,50937 Köln,N,
30209,30271,1    ,16   ,Berrenrather Str. 179,KGS Berrenrather Str.,50937 Köln,N,
30210,30271,1    ,16   ,Berrenrather Str. 179,KGS Berrenrather Str.,50937 Köln,N,
30211,30274,1    ,17   ,Berrenrather Str. 352,GGS Manderscheider Platz,50937 Köln,N,
30212,30274,1    ,17   ,Berrenrather Str. 352,GGS Manderscheider Platz,50937 Köln,N,
30213,30274,1    ,17   ,Berrenrather Str. 352,GGS Manderscheider Platz,50937 Köln,N,
30214,30274,1    ,17   ,Berrenrather Str. 352,GGS Manderscheider Platz,50937 Köln,N,
30215,30275,1    ,17   ,Berrenrather Str. 488,Elsa-Brandström-Realschule,50937 Köln,J,
30216,30275,1    ,17   ,Berrenrather Str. 488,Elsa-Brandström-Realschule,50937 Köln,J,
30217,30275,1    ,17   ,Euskirchener Str. 50,Theodor-Heuss-Realschule,50935 Köln,N,
30218,30275,1    ,17   ,Euskirchener Str. 50,Theodor-Heuss-Realschule,50935 Köln,N,
30219,30276,1    ,17   ,Berrenrather Str. 352,GGS Manderscheider Platz,50937 Köln,N,
30220,30276,1    ,17   ,Berrenrather Str. 352,GGS Manderscheider Platz,50937 Köln,N,
30221,30277,1    ,17   ,Berrenrather Str. 352,GGS Manderscheider Platz,50937 Köln,N,
30222,30277,1    ,17   ,Berrenrather Str. 179,KGS Berrenrather Str.,50937 Köln,N,
30223,30278,1    ,17   ,Nikolausstr. 55,Schiller-Gymnasium,50937 Köln,J,
30224,30278,1    ,17   ,Nikolausstr. 55,Schiller-Gymnasium,50937 Köln,J,
30225,30278,1    ,17   ,Redwitzstr. 80,Förderschule Redwitzstr.,50937 Köln,J,
30226,30278,1    ,17   ,Redwitzstr. 80,Förderschule Redwitzstr.,50937 Köln,J,
30227,30279,1    ,17   ,Euskirchener Str. 50,Theodor-Heuss-Realschule,50935 Köln,N,
30228,30279,1    ,17   ,Euskirchener Str. 50,Theodor-Heuss-Realschule,50935 Köln,N,
30229,30279,1    ,17   ,Euskirchener Str. 50,Theodor-Heuss-Realschule,50935 Köln,N,
30230,30279,1    ,17   ,Euskirchener Str. 50,Theodor-Heuss-Realschule,50935 Köln,N,
30231,30279,1    ,17   ,Mommsenstr. 5,GHS Mommsenstraße,50935 Köln,J,
30232,30279,1    ,17   ,Mommsenstr. 5,GHS Mommsenstraße,50935 Köln,J,
30233,30280,1    ,17   ,Mommsenstr. 5,GHS Mommsenstraße,50935 Köln,J,
30234,30280,1    ,17   ,Mommsenstr. 5,GHS Mommsenstraße,50935 Köln,J,
30301,30371,1    ,18   ,Lindenthalgürtel 30,Evang. Gemeindehaus,50935 Köln,N,
30302,30371,1    ,18   ,Redwitzstr. 80,Förderschule Redwitzstr.,50937 Köln,J,
30303,30371,1    ,18   ,Redwitzstr. 80,Förderschule Redwitzstr.,50937 Köln,J,
30304,30372,1    ,18   ,Albertus-Magnus-Platz,Universität zu Köln,50931 Köln,J,
30305,30372,1    ,18   ,Albertus-Magnus-Platz,Universität zu Köln,50931 Köln,J,
30306,30372,1    ,18   ,Bachemer Str. 69,GGS Bachemer Str.,50931 Köln,J,
30307,30372,1    ,18   ,Bachemer Str. 69,GGS Bachemer Str.,50931 Köln,J,
30308,30373,1    ,18   ,Bachemer Str. 69,GGS Bachemer Str.,50931 Köln,J,
30309,30373,1    ,18   ,Bachemer Str. 69,GGS Bachemer Str.,50931 Köln,J,
30310,30373,1    ,18   ,Lindenburger Allee 38,KGS Lindenburger Allee,50931 Köln,J,Turnhalle
30311,30373,1    ,18   ,Lindenburger Allee 38,KGS Lindenburger Allee,50931 Köln,J,Turnhalle
30312,30374,1    ,18   ,Lindenthalgürtel 30,Evang. Gemeindehaus,50935 Köln,N,
30313,30374,1    ,18   ,Lindenthalgürtel 30,Evang. Gemeindehaus,50935 Köln,N,
30314,30374,1    ,18   ,Freiligrathstr. 60,GGS Freiligrathstr.,50935 Köln,J,
30315,30374,1    ,18   ,Freiligrathstr. 60,GGS Freiligrathstr.,50935 Köln,J,
30316,30375,1    ,18   ,Freiligrathstr. 60,GGS Freiligrathstr.,50935 Köln,J,
30317,30375,1    ,18   ,Freiligrathstr. 60,GGS Freiligrathstr.,50935 Köln,J,
30318,30376,1    ,18   ,Freiligrathstr. 60,GGS Freiligrathstr.,50935 Köln,J,
30319,30376,1    ,18   ,Freiligrathstr. 60,GGS Freiligrathstr.,50935 Köln,J,
30320,30376,1    ,18   ,Freiligrathstr. 60,GGS Freiligrathstr.,50935 Köln,J,
30321,30377,1    ,18   ,Biggestr. 2,Apostelgymnasium,50931 Köln,J,
30322,30377,1    ,18   ,Biggestr. 2,Apostelgymnasium,50931 Köln,J,
30323,30377,1    ,18   ,Biggestr. 2,Apostelgymnasium,50931 Köln,J,
30324,30378,1    ,19   ,Biggestr. 2,Apostelgymnasium,50931 Köln,J,
30325,30379,1    ,19   ,Brucknerstr. 15,Liebfrauenschule,50931 Köln,J,
30326,30379,1    ,19   ,Brucknerstr. 15,Liebfrauenschule,50931 Köln,J,
30401,30471,1    ,19   ,Geilenkircher Str. 52,GGS Geilenkircher Str.,50933 Köln,J,
30402,30471,1    ,19   ,Geilenkircher Str. 52,GGS Geilenkircher Str.,50933 Köln,J,
30403,30471,1    ,19   ,Geilenkircher Str. 52,GGS Geilenkircher Str.,50933 Köln,J,
30404,30472,1    ,19   ,Geilenkircher Str. 52,GGS Geilenkircher Str.,50933 Köln,J,
30405,30472,1    ,19   ,Peter-von-Fliesteden-Str. 1,Clarenbach-Stift,50933 Köln,J,
30406,30473,1    ,19   ,Aachener Str. 443,Griechisches Lyzeum,50933 Köln,N,
30407,30473,1    ,19   ,Aachener Str. 443,Griechisches Lyzeum,50933 Köln,N,
30408,30473,1    ,19   ,Aachener Str. 443,Griechisches Lyzeum,50933 Köln,N,
30409,30473,1    ,19   ,Aachener Str. 443,Griechisches Lyzeum,50933 Köln,N,
30501,30571,1    ,19   ,Neuer Grüner Weg 21,Clarenbachwerk Haus Andreas,50933 Köln,J,
30502,30571,1    ,19   ,Wendelinstr. 64,GGS Wendelinstr.,50933 Köln,J,
