zip;;street;number_odd_from;number_odd_to;number_even_from;number_even_to;district_name;vote_district_id;landtag_election_district_id;local_election_district_id;bundestag_election_district_id
51145;;Am Bergerhof(Elsdorf);;;2;12;Elsdorf;70801;17;;
50739;;Am BilderstÃ¶ckchen;1;97;40;70;BilderstÃ¶ckchen;50701;15;;
51145;;Am BitzenhÃ¤uschen;1;11;2;10;Eil;70505;17;;
50997;;Am Blauen Stein(Rondorf);1;25;2;18;Rondorf;20604;13;;
50997;;Am BÃ¶dinger Hof;1;45;2;10;Rondorf;20602;13;;
50667;;Am Bollwerk;1;13;;;Altstadt/Nord;10305;18;;
50667;;Am Bollwerk;21;25;;;Altstadt/Nord;10304;18;;
51147;;Am BÃ¶rschsgarten;;;2;28;Wahn;71104;17;;
50735;;Am Botanischen Garten;1;49;6;58;Riehl;50303;16;;
50735;;Am Botanischen Garten;49a;73;62;76;Riehl;50308;16;;
51067;;Am Bramhoff;1;15;2;14;Holweide;90401;19;;
50765;;Am Braunsacker;1;123;;;Esch/Auweiler;60704;16;;
50765;;Am Braunsacker;;;2;54;Esch/Auweiler;60703;16;;
50765;;Am Braunsacker;;;56;136;Esch/Auweiler;60704;16;;
50827;;Am Brunnenbogen;1;15;2;16;Bickendorf;40307;15;;
51147;;Am BÃ¼llesgarten;;;2;28;Wahn;71104;17;;
51107;;Am Burgacker;1;41;2;40;Rath/Heumar;80808;17;;
50859;;Am Clarenhof;1;23;2;18;Weiden;30709;14;;
50829;;Am Coloneum;;;2a;;Ossendorf;40603;15;;
51143;;Am Courts Garten;1;9;2;18;ZÃ¼ndorf;71409;17;;
50999;;Am Damm;19;21;2;36;WeiÃŸ;20901;13;;
50679;;Am Deutzer Stadtgarten;1;;;;Deutz;10512;18;;
51147;;Am Distelkampsgarten;;;2;14;Wahn;71104;17;;
50997;;Am Domenhof;1;3;2;4;Godorf;21101;13;;
50765;;Am Donatushof;3;17;;;Volkhoven/Weiler;60801;16;;
51069;;Am Donewald;1;11;2;26;DÃ¼nnwald;90702;19;;
51147;;Am Dornbusch;;;2;6;Grengel;70901;17;;
51107;;Am Dreieck;1;3;2;4;Rath/Heumar;80809;17;;
50677;;Am Duffesbach;1;43;;;Neustadt/SÃ¼d	;10220;13;;
50677;;Am Duffesbach;;;2;44;Neustadt/SÃ¼d	;10219;13;;
50767;;Am Eichelberg;1;23;2;78;Heimersdorf;60401;16;;
50996;;Am EichenwÃ¤ldchen;1;25;2;26;Hahnwald;20701;13;;
50997;;Am Eifeltor;1;;6;;Rondorf;20601;13;;
51061;;Am Emberg;1;39;2;34;HÃ¶henhaus;90604;19;;
50997;;Am Engeldorfer Berg;7;29;2;26;Meschenich;21302;13;;
50859;;Am Engelshof;1;15;2;18;Weiden;30709;14;;
50765;;Am Entenpfuhl;1;99;2;62;Esch/Auweiler;60704;16;;
50997;;Am Eulengarten;1;45;2;34;Godorf;21102;13;;
50769;;Am Feldgarten;1;15;2;16;Roggendorf/Thenhoven;61102;16;;
51061;;Am Feldrain;3;15;2;24;Flittard;90901;19;;
50999;;Am Feldrain(SÃ¼rth);23;;24;38;SÃ¼rth;21005;13;;
50999;;Am Feldrain(SÃ¼rth);;;56;82;SÃ¼rth;21001;13;;
50769;;Am FeldschlÃ¶ÃŸchen;;;20;32;Merkenich;60101;16;;
51061;;Am Flachsrosterweg;1;35;;;HÃ¶henhaus;90605;19;;
51061;;Am Flachsrosterweg;;;2;;HÃ¶henhaus;90604;19;;
51061;;Am Flachsrosterweg;;;4;72;HÃ¶henhaus;90605;19;;
50827;;Am Fliederbusch;1;31;2;40;Bickendorf;40307;15;;
51067;;Am Flutgraben;1;17;2;64;Holweide;90411;19;;
50858;;Am Frankenhain;1;61;2;62;Junkersdorf;30605;14;;
50667;;Am Frankenturm;1;5;;;Altstadt/Nord;10304;18;;
50769;;Am Frohnweiher;1;23;2;24;Worringen;61207;16;;
50859;;Am Fuchsgraben;1;13;2;16;Widdersdorf;30903;14;;
50933;;Am Gibbelsberg;1;5;4;14;MÃ¼ngersdorf;30505;14;;
51107;;Am Gieselbach;1;31;2;28;Rath/Heumar;80805;17;;
50823;;Am Gleisdreieck;7;;;;Neuehrenfeld;40203;15;;
50935;;Am Gleueler Bach;1;25;2;26;Lindenthal;30318;14;;
50997;;Am Godorfer Kirchweg;1;27;6;30;Godorf;21102;13;;
50859;;Am Golfpark;1;15;2;40;Widdersdorf;30901;14;;
51109;;Am GrÃ¤fenhof;7;19;18;60;BrÃ¼ck;80707;17;;
51105;;Am Grauen Stein;;;0;;Poll;70101;17;;
51105;;Am Grauen Stein;3;17;4;20;Humboldt/Gremberg;80104;18;;
51105;;Am Grauen Stein;33;;26;;Poll;70101;17;;
50999;;Am Greinshof;1;19;2;12;SÃ¼rth;21003;13;;
51147;;Am Grott;3;17;4;;Lind;71203;17;;
50858;;Am Haelentor;1;7;2;;Junkersdorf;30606;14;;
50999;;Am Hagelkreuz;5;9;2;22;WeiÃŸ;20902;13;;
50999;;Am Hagelkreuz;11;31;46;62;WeiÃŸ;20901;13;;
50827;;Am Haselbusch;1;11;2;16;Bickendorf;40310;15;;
50997;;Am Heckelchen;3;19;2;30;Meschenich;21302;13;;
51147;;Am Heepsgarten;;;2;28;Wahn;71104;17;;
50859;;Am Heidstamm;1;39;2;50;LÃ¶venich;30803;14;;
50859;;Am Heidstamm;47;;;;LÃ¶venich;30801;14;;
50859;;Am Heidstamm;49;115;;;LÃ¶venich;30802;14;;
50859;;Am Heidstamm;;;52;84;LÃ¶venich;30801;14;;
51145;;Am HeiligenhÃ¤uschen(Urbach);1;15;;;Urbach;70701;17;;
50859;;Am HeiligenhÃ¤uschen(Widdersdorf);1;17;2;16;Widdersdorf;30903;14;;
50996;;Am Hermannshof;5;15;6;8;Hahnwald;20702;13;;
50769;;Am Hetzepetsch;7;33;2;18;Seeberg;60301;16;;
50997;;Am Hilgerskreuz;1;19;4a;12;Meschenich;21303;13;;
50858;;Am Himmel;1;11;2;10;Junkersdorf;30608;14;;
51061;;Am HirschfuÃŸ;;;2;4;Flittard;90904;19;;
51109;;Am Hirschsprung;1;17;;;BrÃ¼ck;80709;17;;
51109;;Am Hirschsprung;;;2;32;BrÃ¼ck;80710;17;;
51109;;Am Hirschsprung;;;40;46;BrÃ¼ck;80709;17;;
51149;;Am Hochkreuz;5;45;;;Gremberghoven;70402;17;;
50667;;Am Hof;1;25;12;52;Altstadt/Nord;10304;18;;
50858;;Am Hof(Junkersdorf);1;11;4;20;Junkersdorf;30608;14;;
50997;;Am HÃ¶fchen;1;53;2;38;Rondorf;20601;13;;
50769;;Am HÃ¶fenweg;1;71;6;92;Merkenich;60105;16;;
50968;;Am Husholz;1;15;2;12;Raderberg;20303;13;;
51105;;Am JÃ¤gerhof;;;2;18;Humboldt/Gremberg;80107;18;;
51069;;Am Jungholz;;;6;;DÃ¼nnwald;90704;19;;
50939;;Am Justizzentrum;1;;;;SÃ¼lz;30205;14;;
51069;;Am Katzenberg;1;27;2;;DÃ¼nnwald;90708;19;;
